headline,gold_standard
Gold-Winning Canadian Snowboarder Cops To Error That Wasn't Spotted By Judges,SPORTS
Breaking: Israelites in Sinai Suddenly Achieve Freedom From Pharaoh -- Good Times Forecast,RELIGION
Why Air Travel Still Sucks,TECH
7 Fashion And Beauty New Year's Resolutions To Add To Your List,STYLE
Panthers Owner To Treat Entire Staff To Free Trip To Super Bowl 50,SPORTS
Tim Kaine Was Not The Governor of New Jersey,POLITICS
Donald Trump's Promise Of 'Insurance For Everybody' Now Comes With Caveats,POLITICS
"Yellowstone Floods Wipe Out Roads, Bridges, Strand Visitors",ENVIRONMENT
Nixon Thought LBJ Tapped His Campaign Plane in 1968,POLITICS
U.S. Lawmakers Join Demand For Puerto Rico Governor’s Resignation,POLITICS
"Pivoting To Hillary, From The Left",POLITICS
HUFFPOST HILL - Mistakes On A Plane,POLITICS
"Good Young Exorcists Are Hard To Find, Leading Priest Says",RELIGION
"Reflections on Justice After Ferguson, MO:  When Will Youth of Color Receive the Same Due Process as Officer Darren Wilson?",POLITICS
Chicago Cubs Stars And Bill Murray Make A Real Song And Dance On 'SNL',SPORTS
Donald Trump Loved To Cite The Nonpartisan Agency His Aides Are Now Discrediting,POLITICS
These Are The 3 Police Officers Killed In The Baton Rouge Attack,CRIME
Don't Let These 5 Confusing Words Mar Your Image,BUSINESS
The Top 10 Most Jeb! Moments Of The 2016 Race,POLITICS
Here's How To Tell If Hillary Clinton Will Keep Her Promises On Trade,POLITICS
"As Puerto Rico Struggles In Darkness, Tesla Brings Light To Children’s Hospital In San Juan",TECH
Fast-Food Chains Costing Taxpayers The Most Money: 24/7 Wall St.,BUSINESS
Trump Loved Hacks. But Now They're Hitting His People — And Anyone Could Be Next.,POLITICS
Please Take Sides: This Is No Time For Silence Or Inaction!,RELIGION
Death Penalty Foe Allegedly Brings Meat Cleaver To Tsarnaev Sentencing,CRIME
British Man Pleads Guilty After Grabbing Officer's Gun At Trump Rally,POLITICS
America's Largest City Is Failing Its Young People,BUSINESS
The New York Post Just Sank Ryan Lochte,SPORTS
Punishing Without Evidence: The Trump Administration’s Gratuitous Steps To Roll Back Progress Between The United States And Cuba,POLITICS
WATCH: Devin Hester Breaks NFL Record With 20th Return Touchdown,SPORTS
Are President Trump's Supporters Embarrassed To Tell Pollsters They Like Him?,POLITICS
Usain Bolt Is Bowing Out As The Greatest Sprinter And The Ultimate Showman,SPORTS
"Brooke Lynn Domel, Texas Teacher Accused Of Sex With Student, Formally Fired By School Board",CRIME
"Donald Trump Met Reporters' Kids, And It Was More Trick Than Treat",POLITICS
How Many Taxpayer Dollars Is An Amazon Warehouse Job Worth?,BUSINESS
Transit Cop Investigated After Quizzing Passenger On Immigration Status,POLITICS
"Samsung To Halt Global Sales, Exchanges Of Galaxy Note 7",TECH
Selene Chin: Ground Yourself With the Right Skills,BUSINESS
"Murders By U.S. White Supremacists More Than Doubled In 2017, New Report Shows",POLITICS
"Netanyahu Is an Ass, But He's My Ass",POLITICS
10 Things Online Reviewers Won't Say: MarketWatch,BUSINESS
'Better Late Than Never': Account Reposting Trump Tweets Verbatim Reacts To Twitter Ban,POLITICS
Judge Says Injunction Against Clean Water Rule Limited To 13 States,POLITICS
5 Teams Not In Power 5 Conferences That Could Crash The College Football Playoff,SPORTS
2020 Election Live Updates: Read The Latest On Races Around The U.S.,POLITICS
What Can Your Country Deliver With the Push of a Button?,POLITICS
Tyra Banks Seriously Only EVER Wears One Sleeve,STYLE
"Yes, Virginia, Attention Must Be Paid To Immigrant Youth",POLITICS
Kim Kardashian's Sheer Jumpsuit Isn't Your Average Maternity Wear,STYLE
Fix the Gas Tax Before Exploring Per-Mile Taxes,POLITICS
"Trump Left Nearly 4,000 Applicants For Central American Refugee Program Stranded",POLITICS
Bill Clinton: I Don't Think I'm Good At Campaigning Anymore 'Because I'm Not Mad At Anybody',POLITICS
Harry Reid: Joni Ernst May Be Too Extreme Even For GOP,POLITICS
Another Former Staffer Alleges That John Conyers Groped Her,POLITICS
Ohio Girl's Abortion Doctor Once Targeted In Vicious Kidnapping Threat: Report,POLITICS
Kim Kardashian And Kanye West Are Matching At The Met Gala,STYLE
Watch The 2016 Democratic National Convention Live,POLITICS
Jury Finds Cinemark Theater Chain Not Liable In 2012 Colorado Movie Massacre,CRIME
First Oil Could Flow Through The Dakota Access Pipeline Next Week,POLITICS
Every Network Wants In On NFL's Thursday Night Football,SPORTS
"American Military, Wildlife Finally Learning To Coexist",ENVIRONMENT
NCAA’s New Sexual Violence Policy Underwhelming At Best,SPORTS
"Oregon Mom Fatally Shoots Stranger In Child's Bedroom, Police Say",CRIME
"Carmageddon Improved Los Angeles Air Quality During 2011 Freeway Closure, Study Shows",ENVIRONMENT
Cotton's Water Footprint: How One T-Shirt Makes A Huge Impact On The Environment (VIDEO),ENVIRONMENT
"Wall Street Doesn’t Believe Elon Musk Can Produce 500,000 Cars By 2018",BUSINESS
"Manny Pacquiao On Floyd Mayweather, Jr: 'We're Just Waiting On Him'",SPORTS
FBI Investigated Folk Singer Pete Seeger For Years,CRIME
Mounting Evidence Indicates Ryan Lochte Fabricated Rio Robbery Story,SPORTS
A Guide to Getting the Most of Going to Conferences,BUSINESS
"Samuel Little Is The Most Prolific Serial Killer In U.S. History, FBI Says",CRIME
Online Dating's Surprising Lesson About Race,TECH
"Fearing Father's Fury For Skipping School, Teen Kills Him With Crossbow: Cops",CRIME
Radcliffe Women Have Always Enjoyed 'Hooking Up',STYLE
Process for the Sake of the Process: Another Stupid Business Trick,BUSINESS
Football Fans Are Ready To Give Ray Rice Another Chance. Domestic Violence Experts Are Not.,SPORTS
"Men Guess What Beauty Blenders Are, And It's Comedy Gold",STYLE
"No Drug Tests For Food Stamp Recipients, Feds Tell Georgia",POLITICS
"Steven Avery, Subject Of 'Making A Murderer,' Has A Christmas Message For His Supporters",CRIME
Boeing Engineers Union To Vote On Potential Strike Ahead Of 787 Dreamliner Fix,BUSINESS
Celebs Do Rock And Roll Chic On This Week's Best Beauty List,STYLE
Ryan Lochte Says He'd Be 'The Michael Phelps Of Swimming' If Phelps Wasn't There,SPORTS
On Being an American,POLITICS
Will Arnold Schwarzenegger Run For The Senate To Battle Donald Trump?,POLITICS
"As Florida Governor, Jeb Bush Provided Special Access To Lobbyists",POLITICS
Barrett Brown vs. the Private Intelligence Business,TECH
Bill Maher Gives Sarcastic Endorsement Of 'Jeb Can Fix It',POLITICS
Dianne Feinstein Wants Hillary Clinton To 'Step Up' And Address Email Controversy,POLITICS
Prince Philip Leaves Hospital On Christmas Eve,POLITICS
Proud Boys Boss Enrique Tarrio Accused Of Torching Black Church's BLM Banner,CRIME
Your City Could Be The First To Embrace The Future Of Transportation,TECH
10 Habits Of Super Likeable Leaders,BUSINESS
March Madness: Round of 32 -- Day 1,SPORTS
The 7 Meanest Things Stephen Curry's Warriors Did To The Spurs Monday Night,SPORTS
Obamacare Repeal Would Knock 10 Percent Of This State Off Health Insurance,POLITICS
Kick Start Your Wardrobe With This Season With Four Must-Have Boots,STYLE
REPORT: Adrian Peterson Seeking Plea Deal In Child Abuse Case,SPORTS
HUFFPOLLSTER: Third Party Candidates Face Substantial Challenges In The General Election,POLITICS
Argentina Back To World Cup Semifinals,SPORTS
Why You Should Give Your Kid an iPad for Christmas (It Isn't What You Think),TECH
